Title,Category,Release date,Ratings,Metascore,Page URL
 Dekalog (1988),movie,"MAR 22, 1996",TV-MA,100,https://www.metacritic.com/movie/dekalog-1988/
The Godfather,movie,"MAR 24, 1972",R,100,https://www.metacritic.com/movie/the-godfather/
Lawrence of Arabia (re-release),movie,"SEP 20, 2002",Approved,100,https://www.metacritic.com/movie/lawrence-of-arabia-re-release/
The Leopard (re-release),movie,"AUG 13, 2004",PG,100,https://www.metacritic.com/movie/the-leopard-re-release/
The Conformist,movie,"OCT 22, 1970",R,100,https://www.metacritic.com/movie/the-conformist-re-release/
Three Colors: Red,movie,"NOV 23, 1994",R,100,https://www.metacritic.com/movie/three-colors-red/
Boyhood,movie,"JUL 11, 2014",R,100,https://www.metacritic.com/movie/boyhood/
Tokyo Story,movie,"MAR 13, 1972",Not Rated,100,https://www.metacritic.com/movie/tokyo-story/
Rear Window,movie,"SEP 1, 1954",TV-PG,100,https://www.metacritic.com/movie/rear-window/
Citizen Kane,movie,"SEP 4, 1941",TV-PG,100,https://www.metacritic.com/movie/citizen-kane-1941/
Casablanca,movie,"JAN 23, 1943",Approved,100,https://www.metacritic.com/movie/casablanca/
Vertigo,movie,"MAY 28, 1958",TV-PG,100,https://www.metacritic.com/movie/vertigo-1958/
Notorious,movie,"SEP 6, 1946",Approved,100,https://www.metacritic.com/movie/notorious-1946/
Fanny and Alexander (re-release),movie,"MAY 21, 2004",R,100,https://www.metacritic.com/movie/fanny-and-alexander-re-release/
Singin' in the Rain,movie,"APR 11, 1952",Passed,99,https://www.metacritic.com/movie/singin-in-the-rain/
Playtime,movie,"JUN 27, 1973",Not Rated,99,https://www.metacritic.com/movie/playtime/
Touch of Evil,movie,"FEB 1, 1958",Passed,99,https://www.metacritic.com/movie/touch-of-evil/
Army of Shadows,movie,"APR 28, 2006",Not Rated,99,https://www.metacritic.com/movie/army-of-shadows/
City Lights,movie,"MAR 7, 1931",G,99,https://www.metacritic.com/movie/city-lights/
Moonlight,movie,"OCT 21, 2016",R,99,https://www.metacritic.com/movie/moonlight-2016/
Intolerance,movie,"SEP 5, 1916",Passed,99,https://www.metacritic.com/movie/intolerance/
The Rules of the Game,movie,"APR 8, 1950",Not Rated,99,https://www.metacritic.com/movie/the-rules-of-the-game/
Pinocchio,movie,"FEB 23, 1940",Approved,99,https://www.metacritic.com/movie/pinocchio-1940/
Seven Samurai,movie,"NOV 19, 1956",Not Rated,98,https://www.metacritic.com/movie/seven-samurai-1954/
 The Wild Bunch,movie,"JUN 18, 1969",R,98,https://www.metacritic.com/movie/the-wild-bunch/
Au hasard Balthazar,movie,"SEP 16, 1966",Not Rated,98,https://www.metacritic.com/movie/au-hasard-balthazar/
The Lady Vanishes,movie,"NOV 1, 1938",Approved,98,https://www.metacritic.com/movie/the-lady-vanishes-1938/
Pépé le Moko (re-release),movie,"MAR 1, 2002",Not Rated,98,https://www.metacritic.com/movie/pepe-le-moko-re-release/
The Treasure of the Sierra Madre,movie,"JAN 24, 1948",Approved,98,https://www.metacritic.com/movie/the-treasure-of-the-sierra-madre/
Pan's Labyrinth,movie,"DEC 29, 2006",R,98,https://www.metacritic.com/movie/pans-labyrinth/
Some Like It Hot,movie,"MAR 29, 1959",Approved,98,https://www.metacritic.com/movie/some-like-it-hot/
North by Northwest,movie,"AUG 6, 1959",Approved,98,https://www.metacritic.com/movie/north-by-northwest/
Hoop Dreams,movie,"OCT 14, 1994",PG-13,98,https://www.metacritic.com/movie/hoop-dreams/
Rashomon,movie,"DEC 26, 1951",Not Rated,98,https://www.metacritic.com/movie/rashomon/
The Passion of Joan of Arc,movie,"MAR 28, 1929",Passed,98,https://www.metacritic.com/movie/the-passion-of-joan-of-arc/
All About Eve,movie,"OCT 27, 1950",Approved,98,https://www.metacritic.com/movie/all-about-eve/
Metropolis (re-release),movie,"JUL 12, 2002",Not Rated,98,https://www.metacritic.com/movie/metropolis-re-release/
Jules and Jim,movie,"APR 23, 1962",Not Rated,97,https://www.metacritic.com/movie/jules-and-jim/
My Left Foot,movie,"NOV 10, 1989",R,97,https://www.metacritic.com/movie/my-left-foot/
The Night of the Hunter,movie,"JUL 27, 1955",Approved,97,https://www.metacritic.com/movie/the-night-of-the-hunter/
Ran,movie,"DEC 20, 1985",R,97,https://www.metacritic.com/movie/ran/
Gone with the Wind,movie,"JAN 17, 1940",G,97,https://www.metacritic.com/movie/gone-with-the-wind/
The Third Man,movie,"SEP 3, 1949",TV-PG,97,https://www.metacritic.com/movie/the-third-man/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"JAN 29, 1964",TV-PG,97,https://www.metacritic.com/movie/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
"Quo Vadis, Aida?",movie,"MAR 5, 2021",Approved,97,https://www.metacritic.com/movie/quo-vadis-aida/
Rififi (re-release),movie,"JUL 21, 2000",Not Rated,97,https://www.metacritic.com/movie/rififi-re-release/
Psycho,movie,"SEP 8, 1960",TV-14,97,https://www.metacritic.com/movie/psycho-1960/
"4 Months, 3 Weeks and 2 Days",movie,"JAN 23, 2008",Not Rated,97,https://www.metacritic.com/movie/4-months-3-weeks-and-2-days/
 Parasite,movie,"OCT 11, 2019",R,97,https://www.metacritic.com/movie/parasite/
Battleship Potemkin,movie,"DEC 5, 1926",Not Rated,97,https://www.metacritic.com/movie/battleship-potemkin/
A Streetcar Named Desire,movie,"SEP 19, 1951",PG,97,https://www.metacritic.com/movie/a-streetcar-named-desire/
The Maltese Falcon,movie,"OCT 18, 1941",Approved,97,https://www.metacritic.com/movie/the-maltese-falcon/
American Graffiti,movie,"AUG 11, 1973",PG,97,https://www.metacritic.com/movie/american-graffiti/
12 Angry Men,movie,"APR 1, 1957",Approved,97,https://www.metacritic.com/movie/12-angry-men/
Dumbo,movie,"OCT 31, 1941",Passed,96,https://www.metacritic.com/movie/dumbo-1941/
Roma,movie,"NOV 21, 2018",R,96,https://www.metacritic.com/movie/roma/
Man with a Movie Camera,movie,"MAY 12, 1929",Not Rated,96,https://www.metacritic.com/movie/man-with-a-movie-camera/
Spirited Away,movie,"SEP 20, 2002",PG,96,https://www.metacritic.com/movie/spirited-away/
Toy Story,movie,"NOV 22, 1995",G,96,https://www.metacritic.com/movie/toy-story/
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",movie,"JUL 2, 2021",PG-13,96,https://www.metacritic.com/movie/summer-of-soul-or-when-the-revolution-could-not-be-televised/
The Shop Around the Corner,movie,"JAN 12, 1940",Approved,96,https://www.metacritic.com/movie/the-shop-around-the-corner/
Rosemary's Baby,movie,"JUN 12, 1968",R,96,https://www.metacritic.com/movie/rosemarys-baby/
12 Years a Slave,movie,"OCT 18, 2013",R,96,https://www.metacritic.com/movie/12-years-a-slave/
Manchester by the Sea,movie,"NOV 18, 2016",R,96,https://www.metacritic.com/movie/manchester-by-the-sea/
The Battle of Algiers,movie,"JAN 9, 2004",Not Rated,96,https://www.metacritic.com/movie/the-battle-of-algiers/
A Hard Day's Night,movie,"AUG 11, 1964",Approved,96,https://www.metacritic.com/movie/a-hard-days-night/
Killer of Sheep,movie,"MAR 30, 2007",N/A,96,https://www.metacritic.com/movie/killer-of-sheep/
Nashville,movie,"JUN 11, 1975",R,96,https://www.metacritic.com/movie/nashville/
Red River,movie,"SEP 17, 1948",Approved,96,https://www.metacritic.com/movie/red-river/
The Philadelphia Story,movie,"DEC 5, 1940",Approved,96,https://www.metacritic.com/movie/the-philadelphia-story/
Sansho the Bailiff,movie,"JAN 1, 1955",Not Rated,96,https://www.metacritic.com/movie/sansho-the-bailiff/
Ratatouille,movie,"JUN 29, 2007",G,96,https://www.metacritic.com/movie/ratatouille/
 The Grapes of Wrath,movie,"MAR 15, 1940",Approved,96,https://www.metacritic.com/movie/the-grapes-of-wrath/
Snow White and the Seven Dwarfs,movie,"FEB 4, 1938",TV-G,96,https://www.metacritic.com/movie/snow-white-and-the-seven-dwarfs/
Children of Paradise (1945),movie,"MAR 9, 2012",Not Rated,96,https://www.metacritic.com/movie/children-of-paradise-1945/
Mean Streets,movie,"OCT 14, 1973",R,96,https://www.metacritic.com/movie/mean-streets/
The Lady Eve,movie,"MAR 21, 1941",Approved,96,https://www.metacritic.com/movie/the-lady-eve/
Gravity,movie,"OCT 4, 2013",PG-13,96,https://www.metacritic.com/movie/gravity/
Fantasia,movie,"NOV 13, 1940",G,96,https://www.metacritic.com/movie/fantasia/
Beauty and the Beast,movie,"NOV 22, 1991",G,95,https://www.metacritic.com/movie/beauty-and-the-beast-1991/
Small Axe: Lovers Rock,movie,"NOV 27, 2020",TV-MA,95,https://www.metacritic.com/movie/small-axe-lovers-rock/
The Bride of Frankenstein,movie,"MAY 6, 1935",Approved,95,https://www.metacritic.com/movie/the-bride-of-frankenstein/
Don't Look Now,movie,"DEC 9, 1973",R,95,https://www.metacritic.com/movie/dont-look-now/
The Social Network,movie,"OCT 1, 2010",PG-13,95,https://www.metacritic.com/movie/the-social-network/
Do Not Expect Too Much From the End of the World,movie,"MAR 22, 2024",N/A,95,https://www.metacritic.com/movie/do-not-expect-too-much-from-the-end-of-the-world/
My Fair Lady,movie,"DEC 25, 1964",G,95,https://www.metacritic.com/movie/my-fair-lady/
Portrait of a Lady on Fire,movie,"DEC 6, 2019",R,95,https://www.metacritic.com/movie/portrait-of-a-lady-on-fire/
I Am Not Your Negro,movie,"DEC 9, 2016",PG-13,95,https://www.metacritic.com/movie/i-am-not-your-negro/
Woodstock,movie,"MAR 26, 1970",R,95,https://www.metacritic.com/movie/woodstock-1970/
Aftersun,movie,"OCT 21, 2022",R,95,https://www.metacritic.com/movie/aftersun/
Rocks,movie,"FEB 1, 2021",TV-MA,95,https://www.metacritic.com/movie/rocks/
Amour,movie,"DEC 19, 2012",PG-13,95,https://www.metacritic.com/movie/amour/
The Hurt Locker,movie,"JUN 26, 2009",R,95,https://www.metacritic.com/movie/the-hurt-locker/
Anatomy of a Murder,movie,"JUL 1, 1959",Approved,95,https://www.metacritic.com/movie/anatomy-of-a-murder/
Pulp Fiction,movie,"OCT 14, 1994",R,95,https://www.metacritic.com/movie/pulp-fiction/
Zero Dark Thirty,movie,"DEC 19, 2012",R,95,https://www.metacritic.com/movie/zero-dark-thirty/
 Collective,movie,"NOV 20, 2020",Not Rated,95,https://www.metacritic.com/movie/collective/
A Separation,movie,"DEC 30, 2011",PG-13,95,https://www.metacritic.com/movie/a-separation/
Double Indemnity,movie,"JUL 6, 1944",Approved,95,https://www.metacritic.com/movie/double-indemnity/
Sunrise,movie,"NOV 4, 1927",Passed,95,https://www.metacritic.com/movie/sunrise-1927/
La Dolce Vita,movie,"APR 19, 1961",Not Rated,95,https://www.metacritic.com/movie/la-dolce-vita-re-release/
Schindler's List,movie,"DEC 15, 1993",R,95,https://www.metacritic.com/movie/schindlers-list/
WALL-E,movie,"JUN 27, 2008",G,95,https://www.metacritic.com/movie/wall-e/
Carol,movie,"NOV 20, 2015",R,94,https://www.metacritic.com/movie/carol/
Before Midnight,movie,"MAY 24, 2013",R,94,https://www.metacritic.com/movie/before-midnight/
Amazing Grace,movie,"NOV 23, 2018",G,94,https://www.metacritic.com/movie/amazing-grace-1972/
Dunkirk,movie,"JUL 21, 2017",PG-13,94,https://www.metacritic.com/movie/dunkirk/
The Man Who Shot Liberty Valance,movie,"APR 22, 1962",Approved,94,https://www.metacritic.com/movie/the-man-who-shot-liberty-valance/
The Searchers,movie,"MAY 26, 1956",Approved,94,https://www.metacritic.com/movie/the-searchers/
45 Years,movie,"DEC 23, 2015",R,94,https://www.metacritic.com/movie/45-years/
Taxi Driver,movie,"FEB 7, 1976",R,94,https://www.metacritic.com/movie/taxi-driver-1976/
Inside the Yellow Cocoon Shell,movie,"JAN 19, 2024",N/A,94,https://www.metacritic.com/movie/inside-the-yellow-cocoon-shell/
The Servant,movie,"MAR 16, 1964",Unrated,94,https://www.metacritic.com/movie/the-servant/
Yi Yi,movie,"OCT 6, 2000",Not Rated,94,https://www.metacritic.com/movie/yi-yi/
The Manchurian Candidate,movie,"OCT 24, 1962",PG-13,94,https://www.metacritic.com/movie/the-manchurian-candidate-1962/
Mr. Turner,movie,"DEC 19, 2014",R,94,https://www.metacritic.com/movie/mr-turner/
The Irishman,movie,"NOV 1, 2019",R,94,https://www.metacritic.com/movie/the-irishman/
Grave of the Fireflies (1988),movie,"JUL 26, 1989",Not Rated,94,https://www.metacritic.com/movie/grave-of-the-fireflies-1988/
"Crouching Tiger, Hidden Dragon",movie,"DEC 8, 2000",PG-13,94,https://www.metacritic.com/movie/crouching-tiger-hidden-dragon/
The Wild Child,movie,"SEP 11, 1970",G,94,https://www.metacritic.com/movie/the-wild-child/
 Stop Making Sense,movie,"OCT 18, 1984",PG,94,https://www.metacritic.com/movie/stop-making-sense/
Shadow of a Doubt,movie,"JAN 15, 1943",Passed,94,https://www.metacritic.com/movie/shadow-of-a-doubt/
Inside Out,movie,"JUN 19, 2015",PG,94,https://www.metacritic.com/movie/inside-out-2015/
Meet Me in St. Louis,movie,"JAN 1, 1945",Approved,94,https://www.metacritic.com/movie/meet-me-in-st-louis/
Sideways,movie,"OCT 22, 2004",R,94,https://www.metacritic.com/movie/sideways/
Sunset Boulevard,movie,"AUG 10, 1950",Approved,94,https://www.metacritic.com/movie/sunset-boulevard/
The Apartment,movie,"JUN 15, 1960",Approved,94,https://www.metacritic.com/movie/the-apartment/
Apocalypse Now,movie,"AUG 15, 1979",TV-14,94,https://www.metacritic.com/movie/apocalypse-now/
The Gunfighter,movie,"JUN 23, 1950",Approved,94,https://www.metacritic.com/movie/the-gunfighter/
We Were Here,movie,"SEP 9, 2011",Not Rated,94,https://www.metacritic.com/movie/we-were-here/
Faces Places,movie,"OCT 6, 2017",PG,94,https://www.metacritic.com/movie/faces-places/
Days of Heaven,movie,"SEP 13, 1978",PG,94,https://www.metacritic.com/movie/days-of-heaven-re-release/
Past Lives,movie,"JUN 2, 2023",PG-13,94,https://www.metacritic.com/movie/past-lives/
Chimes at Midnight,movie,"MAR 17, 1967",Not Rated,94,https://www.metacritic.com/movie/chimes-at-midnight/
The Lord of the Rings: The Return of the King,movie,"DEC 17, 2003",PG-13,94,https://www.metacritic.com/movie/the-lord-of-the-rings-the-return-of-the-king/
Call Me by Your Name,movie,"NOV 24, 2017",R,94,https://www.metacritic.com/movie/call-me-by-your-name/
Trenque Lauquen Parte II,movie,"APR 21, 2023",N/A,94,https://www.metacritic.com/movie/trenque-lauquen-parte-ii/
Trenque Lauquen Parte I,movie,"APR 21, 2023",N/A,94,https://www.metacritic.com/movie/trenque-lauquen-parte-i/
Carlos,movie,"OCT 15, 2010",Not Rated,94,https://www.metacritic.com/movie/carlos/
Marriage Story,movie,"NOV 6, 2019",R,94,https://www.metacritic.com/movie/marriage-story/
The French Connection,movie,"OCT 7, 1971",R,94,https://www.metacritic.com/movie/the-french-connection-1971/
Elevator to the Gallows,movie,"JUN 10, 1961",Not Rated,94,https://www.metacritic.com/movie/elevator-to-the-gallows/
La La Land,movie,"DEC 9, 2016",PG-13,94,https://www.metacritic.com/movie/la-la-land/
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",movie,"OCT 4, 1978",Not Rated,94,https://www.metacritic.com/movie/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/
 Petite Maman,movie,"DEC 3, 2021",PG,93,https://www.metacritic.com/movie/petite-maman/
Lady Bird,movie,"NOV 3, 2017",R,93,https://www.metacritic.com/movie/lady-bird/
The Magnificent Ambersons,movie,"JUL 10, 1942",Approved,93,https://www.metacritic.com/movie/the-magnificent-ambersons/
Reversal of Fortune,movie,"OCT 17, 1990",R,93,https://www.metacritic.com/movie/reversal-of-fortune/
Rio Bravo,movie,"APR 4, 1959",Approved,93,https://www.metacritic.com/movie/rio-bravo/
David Byrne’s American Utopia,movie,"OCT 17, 2020",TV-14,93,https://www.metacritic.com/movie/david-byrnes-american-utopia/
Masculine Feminine,movie,"SEP 19, 1966",Not Rated,93,https://www.metacritic.com/movie/masculine-feminine/
Shoplifters,movie,"NOV 23, 2018",R,93,https://www.metacritic.com/movie/shoplifters/
Shoah: Four Sisters,movie,"NOV 14, 2018",Not Rated,93,https://www.metacritic.com/movie/shoah-four-sisters/
The 39 Steps,movie,"AUG 1, 1935",Approved,93,https://www.metacritic.com/movie/the-39-steps/
Duck Soup,movie,"NOV 17, 1933",Approved,93,https://www.metacritic.com/movie/duck-soup/
Here,movie,"FEB 9, 2024",N/A,93,https://www.metacritic.com/movie/here-2023/
Toni Erdmann,movie,"DEC 25, 2016",R,93,https://www.metacritic.com/movie/toni-erdmann/
The Discreet Charm of the Bourgeoisie,movie,"OCT 22, 1972",PG,93,https://www.metacritic.com/movie/the-discreet-charm-of-the-bourgeoisie/
All We Imagine as Light,movie,,N/A,93,https://www.metacritic.com/movie/all-we-imagine-as-light/
Uncut Gems,movie,"DEC 13, 2019",R,93,https://www.metacritic.com/movie/uncut-gems/
McCabe & Mrs. Miller,movie,"JUN 24, 1971",R,93,https://www.metacritic.com/movie/mccabe-mrs-miller/
Inside Llewyn Davis,movie,"DEC 6, 2013",R,93,https://www.metacritic.com/movie/inside-llewyn-davis/
The Best Years of Our Lives,movie,"DEC 25, 1946",Approved,93,https://www.metacritic.com/movie/the-best-years-of-our-lives/
Band of Outsiders,movie,"MAR 15, 1966",Not Rated,93,https://www.metacritic.com/movie/band-of-outsiders-re-release/
Stagecoach,movie,"MAR 3, 1939",Approved,93,https://www.metacritic.com/movie/stagecoach/
Our Body,movie,"AUG 4, 2023",N/A,93,https://www.metacritic.com/movie/our-body/
Days of Being Wild (re-release),movie,"NOV 19, 2004",Not Rated,93,https://www.metacritic.com/movie/days-of-being-wild-re-release/
Sherpa,movie,"OCT 2, 2015",Not Rated,93,https://www.metacritic.com/movie/sherpa/
 There Will Be Blood,movie,"DEC 26, 2007",R,93,https://www.metacritic.com/movie/there-will-be-blood/
Tristana (re-release),movie,"FEB 22, 2013",PG-13,93,https://www.metacritic.com/movie/tristana-re-release/
The Last Picture Show,movie,"OCT 22, 1971",R,93,https://www.metacritic.com/movie/the-last-picture-show/
Hard to Be a God,movie,"JAN 30, 2015",Not Rated,93,https://www.metacritic.com/movie/hard-to-be-a-god/
Do the Right Thing,movie,"JUN 30, 1989",R,93,https://www.metacritic.com/movie/do-the-right-thing/
Sita Sings the Blues,movie,"DEC 25, 2009",Not Rated,93,https://www.metacritic.com/movie/sita-sings-the-blues/
The Decline of Western Civilization,movie,"JUL 5, 1981",Not Rated,93,https://www.metacritic.com/movie/the-decline-of-western-civilization/
Yojimbo,movie,"SEP 13, 1961",Not Rated,93,https://www.metacritic.com/movie/yojimbo/
TÁR,movie,"OCT 7, 2022",R,93,https://www.metacritic.com/movie/tar-2022/
Top Hat,movie,"SEP 6, 1935",Approved,93,https://www.metacritic.com/movie/top-hat/
Brother's Keeper,movie,"SEP 9, 1992",R,93,https://www.metacritic.com/movie/brothers-keeper/
Badlands,movie,"OCT 15, 1973",PG,93,https://www.metacritic.com/movie/badlands/
Sankofa,movie,"MAY 28, 1993",N/A,93,https://www.metacritic.com/movie/sankofa/
Crumb,movie,"APR 28, 1995",R,93,https://www.metacritic.com/movie/crumb/
No Bears,movie,"DEC 23, 2022",N/A,93,https://www.metacritic.com/movie/no-bears/
8½,movie,"JUN 24, 1963",Not Rated,93,https://www.metacritic.com/movie/-1963/
Spotlight,movie,"NOV 6, 2015",R,93,https://www.metacritic.com/movie/spotlight/
Solaris (1972),movie,"OCT 6, 1976",PG,93,https://www.metacritic.com/movie/solaris-1972/
The Band Wagon,movie,"AUG 7, 1953",Approved,93,https://www.metacritic.com/movie/the-band-wagon/
Late Spring (1949),movie,"JUL 21, 1972",Not Rated,93,https://www.metacritic.com/movie/late-spring-1949/
Ikiru,movie,"MAR 25, 1956",Not Rated,92,https://www.metacritic.com/movie/ikiru/
One More Time with Feeling,movie,"SEP 8, 2016",PG,92,https://www.metacritic.com/movie/one-more-time-with-feeling/
The Wizard of Oz,movie,"AUG 25, 1939",Passed,92,https://www.metacritic.com/movie/the-wizard-of-oz-re-release/
Sugarcane,movie,"AUG 9, 2024",R,92,https://www.metacritic.com/movie/sugarcane/
 Ride the High Country,movie,"MAY 9, 1962",Approved,92,https://www.metacritic.com/movie/ride-the-high-country/
Memoria,movie,"DEC 26, 2021",PG,92,https://www.metacritic.com/movie/memoria-2020/
The Diving Bell and the Butterfly,movie,"NOV 30, 2007",PG-13,92,https://www.metacritic.com/movie/the-diving-bell-and-the-butterfly/
Invasion of the Body Snatchers,movie,"FEB 5, 1956",Approved,92,https://www.metacritic.com/movie/invasion-of-the-body-snatchers-1956/
Close-Up,movie,"DEC 31, 1999",Not Rated,92,https://www.metacritic.com/movie/close-up/
The Class,movie,"DEC 19, 2008",PG-13,92,https://www.metacritic.com/movie/the-class/
Platoon,movie,"DEC 19, 1986",R,92,https://www.metacritic.com/movie/platoon/
No Country for Old Men,movie,"NOV 9, 2007",R,92,https://www.metacritic.com/movie/no-country-for-old-men/
Chinatown,movie,"JUN 20, 1974",R,92,https://www.metacritic.com/movie/chinatown/
35 Shots of Rum,movie,"SEP 16, 2009",Unrated,92,https://www.metacritic.com/movie/35-shots-of-rum/
Apocalypse Now: Final Cut,movie,"AUG 15, 2019",TV-14,92,https://www.metacritic.com/movie/apocalypse-now-final-cut/
King Kong,movie,"APR 7, 1933",TV-PG,92,https://www.metacritic.com/movie/king-kong-1933/
Umberto D (re-release),movie,"FEB 15, 2002",Not Rated,92,https://www.metacritic.com/movie/umberto-d-re-release/
Secrets & Lies,movie,"SEP 27, 1996",R,92,https://www.metacritic.com/movie/secrets-lies/
The Florida Project,movie,"OCT 6, 2017",R,92,https://www.metacritic.com/movie/the-florida-project/
Timbuktu,movie,"JAN 28, 2015",PG-13,92,https://www.metacritic.com/movie/timbuktu/
Frenzy,movie,"JUN 21, 1972",R,92,https://www.metacritic.com/movie/frenzy/
Brief Encounter,movie,"AUG 24, 1946",Approved,92,https://www.metacritic.com/movie/brief-encounter/
Days,movie,"AUG 13, 2021",Unrated,92,https://www.metacritic.com/movie/days/
Cool Hand Luke,movie,"NOV 1, 1967",GP,92,https://www.metacritic.com/movie/cool-hand-luke/
Little Women,movie,"NOV 24, 1933",Passed,92,https://www.metacritic.com/movie/little-women-1933/
The Act of Killing,movie,"JUL 19, 2013",Not Rated,92,https://www.metacritic.com/movie/the-act-of-killing/
De Humani Corporis Fabrica,movie,"APR 14, 2023",N/A,92,https://www.metacritic.com/movie/de-humani-corporis-fabrica/
Maborosi,movie,"MAR 21, 1997",Not Rated,92,https://www.metacritic.com/movie/maborosi/
 Beauty and the Beast (re-release),movie,"AUG 16, 2002",Not Rated,92,https://www.metacritic.com/movie/beauty-and-the-beast-re-release/
E.T. The Extra-Terrestrial,movie,"JUN 11, 1982",TV-PG,92,https://www.metacritic.com/movie/et-the-extra-terrestrial/
Apocalypse Now Redux,movie,"AUG 3, 2001",N/A,92,https://www.metacritic.com/movie/apocalypse-now-redux/
Never Rarely Sometimes Always,movie,"MAR 13, 2020",PG-13,92,https://www.metacritic.com/movie/never-rarely-sometimes-always/
Annie Hall,movie,"APR 20, 1977",PG,92,https://www.metacritic.com/movie/annie-hall-1977/
The Lord of the Rings: The Fellowship of the Ring,movie,"DEC 19, 2001",PG-13,92,https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring/
Quiz Show,movie,"SEP 14, 1994",PG-13,92,https://www.metacritic.com/movie/quiz-show/
Leviathan,movie,"DEC 25, 2014",R,92,https://www.metacritic.com/movie/leviathan-2014/
Menus Plaisirs - Les Troisgros,movie,"NOV 22, 2023",N/A,92,https://www.metacritic.com/movie/menus-plaisirs---les-troisgros/
Werckmeister Harmonies,movie,"OCT 10, 2001",Not Rated,92,https://www.metacritic.com/movie/werckmeister-harmonies/
Le Cercle Rouge (1970),movie,"JAN 10, 2003",Not Rated,92,https://www.metacritic.com/movie/le-cercle-rouge-1970/
Toy Story 3,movie,"JUN 18, 2010",G,92,https://www.metacritic.com/movie/toy-story-3/
The Souvenir,movie,"MAY 17, 2019",R,92,https://www.metacritic.com/movie/the-souvenir/
This Is Spinal Tap,movie,"MAR 2, 1984",R,92,https://www.metacritic.com/movie/this-is-spinal-tap/
Goodfellas,movie,"SEP 1, 1990",R,92,https://www.metacritic.com/movie/goodfellas/
The Zone of Interest,movie,"DEC 15, 2023",PG-13,92,https://www.metacritic.com/movie/the-zone-of-interest/
Alphaville,movie,"OCT 25, 1965",Not Rated,92,https://www.metacritic.com/movie/alphaville/
The Look of Silence,movie,"JUL 17, 2015",PG-13,92,https://www.metacritic.com/movie/the-look-of-silence/
Tower,movie,"OCT 12, 2016",TV-14,92,https://www.metacritic.com/movie/tower/
Burning,movie,"OCT 26, 2018",Not Rated,91,https://www.metacritic.com/movie/burning/
Drive My Car,movie,"NOV 24, 2021",Unrated,91,https://www.metacritic.com/movie/drive-my-car/
Moolaadé,movie,"OCT 15, 2004",Unrated,91,https://www.metacritic.com/movie/moolaade/
A Summer's Tale,movie,"JUN 20, 2014",G,91,https://www.metacritic.com/movie/a-summers-tale/
Saint Omer,movie,"JAN 13, 2023",PG-13,91,https://www.metacritic.com/movie/saint-omer/
 Atanarjuat: The Fast Runner,movie,"JUN 7, 2002",R,91,https://www.metacritic.com/movie/atanarjuat-the-fast-runner/
L.A. Confidential,movie,"SEP 19, 1997",R,91,https://www.metacritic.com/movie/la-confidential/
Time,movie,"OCT 9, 2020",PG-13,91,https://www.metacritic.com/movie/time-2020/
Three Colors: White,movie,"JUN 10, 1994",R,91,https://www.metacritic.com/movie/three-colors-white/
Gavagai,movie,"AUG 3, 2018",N/A,91,https://www.metacritic.com/movie/gavagai/
A Bread Factory Part Two: Walk With Me a While,movie,"OCT 26, 2018",N/A,91,https://www.metacritic.com/movie/a-bread-factory-part-two-walk-with-me-a-while/
The Killing,movie,"JUN 6, 1956",Approved,91,https://www.metacritic.com/movie/the-killing/
Swing Time,movie,"AUG 28, 1936",Approved,91,https://www.metacritic.com/movie/swing-time/
Lost in Translation,movie,"SEP 12, 2003",R,91,https://www.metacritic.com/movie/lost-in-translation/
Breaking Away,movie,"JUL 20, 1979",PG,91,https://www.metacritic.com/movie/breaking-away/
Ryuichi Sakamoto | Opus,movie,"MAR 15, 2024",N/A,91,https://www.metacritic.com/movie/ryuichi-sakamoto-opus/
After Life,movie,"MAY 12, 1999",Not Rated,91,https://www.metacritic.com/movie/after-life/
Love Affair,movie,"APR 7, 1939",TV-G,91,https://www.metacritic.com/movie/love-affair-1939/
Son of Saul,movie,"DEC 18, 2015",R,91,https://www.metacritic.com/movie/son-of-saul/
Frankenstein,movie,"NOV 21, 1931",Approved,91,https://www.metacritic.com/movie/frankenstein/
Little Women,movie,"DEC 25, 2019",PG,91,https://www.metacritic.com/movie/little-women-2019/
I Am Cuba,movie,"DEC 1, 1995",Not Rated,91,https://www.metacritic.com/movie/i-am-cuba/
The African Queen,movie,"MAR 21, 1952",TV-PG,91,https://www.metacritic.com/movie/the-african-queen/
The Triplets of Belleville,movie,"NOV 26, 2003",PG-13,91,https://www.metacritic.com/movie/the-triplets-of-belleville/
Monty Python and the Holy Grail,movie,"APR 14, 1975",PG,91,https://www.metacritic.com/movie/monty-python-and-the-holy-grail/
The Man Who Would Be King,movie,"DEC 16, 1975",PG,91,https://www.metacritic.com/movie/the-man-who-would-be-king/
Flee,movie,"DEC 3, 2021",PG-13,91,https://www.metacritic.com/movie/flee/
All Quiet on the Western Front,movie,"AUG 24, 1930",Passed,91,https://www.metacritic.com/movie/all-quiet-on-the-western-front/
